City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,norman wells,65.282,-126.8329,3.24,85,40,2.3,CA,1677455937
1,hambantota,6.1241,81.1185,72.14,72,99,9.08,LK,1677455937
2,avarua,-21.2078,-159.775,84.25,65,20,9.22,CK,1677455938
3,hobart,-42.8794,147.3294,61.05,73,75,13.8,AU,1677455654
4,bluff,-46.6,168.3333,63.81,74,67,7.58,NZ,1677455938
5,juybar,36.6412,52.9124,48.88,68,0,3.24,IR,1677455939
6,chuy,-33.6971,-53.4616,65.39,61,0,10.4,UY,1677455939
7,mogadishu,2.0371,45.3438,76.68,78,91,19.46,SO,1677455741
8,salalah,17.0151,54.0924,69.51,76,0,1.25,OM,1677455939
9,ushuaia,-54.8,-68.3,53.26,71,100,14.97,AR,1677455940
10,tuatapere,-46.1333,167.6833,65.26,60,47,4.21,NZ,1677455940
11,liuhe,42.2401,125.7172,24.62,66,0,7.99,CN,1677455940
12,pinar del rio,22.4175,-83.6981,72.21,57,0,4.25,CU,1677455941
13,saint-philippe,-21.3585,55.7679,74.79,81,11,3.04,RE,1677455941
14,vila velha,-20.3297,-40.2925,80.55,87,0,13.8,BR,1677455941
15,mahebourg,-20.4081,57.7,75.25,94,20,3.44,MU,1677455942
16,hobbs,32.7026,-103.136,77.59,35,17,41.61,US,1677455926
17,teguise,29.0605,-13.564,57.42,82,20,4.61,ES,1677455942
18,rikitea,-23.1203,-134.9692,80.82,73,39,14.03,PF,1677455943
19,snezhnogorsk,69.1933,33.2531,11.98,95,100,12.33,RU,1677455943
20,cabo san lucas,22.8909,-109.9124,75.61,77,94,3.29,MX,1677455721
21,hithadhoo,-0.6,73.0833,80.89,78,36,6.4,MV,1677455943
22,busselton,-33.65,115.3333,72.07,58,95,10.63,AU,1677455944
23,port alfred,-33.5906,26.891,67.17,94,19,3.0,ZA,1677455944
24,dingle,10.9995,122.6711,78.33,85,74,17.16,PH,1677455944
25,vaini,-21.2,-175.2,87.96,74,40,12.66,TO,1677455945
26,qaanaaq,77.484,-69.3632,-17.23,72,93,7.18,GL,1677455945
27,hilo,19.7297,-155.09,75.27,84,41,5.99,US,1677455716
28,nanortalik,60.1432,-45.2371,24.58,91,100,15.26,GL,1677455945
29,provideniya,64.3833,-173.3,-2.09,65,0,6.71,RU,1677455946
30,korla,41.7597,86.1469,35.65,47,48,3.6,CN,1677455946
31,yellowknife,62.456,-114.3525,9.12,72,20,4.61,CA,1677455946
32,hachinohe,40.5,141.5,33.73,54,16,12.35,JP,1677455947
33,cape town,-33.9258,18.4232,69.39,71,0,19.57,ZA,1677455947
34,pangnirtung,66.1451,-65.7125,-29.2,68,20,2.3,CA,1677455947
35,luderitz,-26.6481,15.1594,62.24,76,0,12.57,NA,1677455948
36,yulara,-25.2406,130.9889,85.44,31,65,21.61,AU,1677455948
37,nguru,12.8791,10.4526,77.65,12,50,9.28,NG,1677455948
38,takaka,-40.85,172.8,67.59,67,57,2.8,NZ,1677455948
39,kifri,34.6959,44.9661,58.05,43,0,8.57,IQ,1677455949
40,yumen,40.2833,97.2,28.98,64,50,4.45,CN,1677455949
41,puerto ayora,-0.7393,-90.3518,77.56,95,87,8.01,EC,1677455837
42,mataura,-46.1927,168.8643,63.48,51,68,3.22,NZ,1677455950
43,belmonte,-15.8631,-38.8828,78.24,84,1,7.09,BR,1677455950
44,inverell,-29.7833,151.1167,82.67,59,3,4.0,AU,1677455950
45,muros,42.7762,-9.0603,45.14,64,0,14.85,ES,1677455951
46,douglas,41.3,-96.167,43.59,87,100,16.11,US,1677455951
47,albany,42.6001,-73.9662,34.23,66,64,3.0,US,1677455951
48,ler,8.3018,30.1418,84.69,17,51,5.84,SS,1677455952
49,jamestown,42.097,-79.2353,35.24,60,0,12.66,US,1677455952
50,aksu,41.1231,80.2644,37.67,44,100,2.98,CN,1677455952
51,makueni,-1.8041,37.6203,60.21,93,98,1.39,KE,1677455953
52,bonthe,7.5264,-12.505,75.61,85,49,7.96,SL,1677455953
53,sembe,1.6481,14.5806,73.8,82,67,5.26,CG,1677455953
54,mar del plata,-38.0023,-57.5575,66.22,58,0,8.05,AR,1677455938
55,grand gaube,-20.0064,57.6608,75.38,80,12,1.99,MU,1677455954
56,atuona,-9.8,-139.0333,79.16,80,9,14.56,PF,1677455695
57,corn island,12.1694,-83.0418,79.07,73,9,15.23,NI,1677455954
58,ilulissat,69.2167,-51.1,-9.53,79,72,6.22,GL,1677455954
59,mogocha,53.7333,119.7667,20.12,96,100,1.32,RU,1677455955
60,nishihara,26.1842,127.7558,61.88,70,75,18.41,JP,1677455955
61,makokou,0.5738,12.8642,68.52,96,84,2.1,GA,1677455955
62,jiangyou,31.7667,104.7167,53.62,65,100,1.57,CN,1677455956
63,flinders,-34.5833,150.8552,76.37,74,84,5.01,AU,1677455956
64,kapaa,22.0752,-159.319,77.32,81,20,18.41,US,1677455956
65,ribeira grande,38.5167,-28.7,55.78,63,56,18.99,PT,1677455957
66,kamakwie,9.5,-12.2333,75.42,66,13,5.73,SL,1677455957
67,tuktoyaktuk,69.4541,-133.0374,-5.8,77,75,6.91,CA,1677455957
68,sao filipe,14.8961,-24.4956,70.18,71,70,10.87,CV,1677455958
69,churachandpur,24.3333,93.6667,48.22,41,0,2.24,IN,1677455958
70,suntar,62.1444,117.6319,-11.92,97,100,3.49,RU,1677455959
71,kodiak,57.79,-152.4072,35.11,51,0,25.32,US,1677455741
72,ahome,25.9167,-109.1833,68.43,55,16,15.68,MX,1677455959
73,saskylakh,71.9167,114.0833,-3.23,96,100,20.42,RU,1677455960
74,saint-pierre,-21.3393,55.4781,74.91,73,0,4.61,RE,1677455960
75,portland,45.5234,-122.6762,41.45,92,75,8.01,US,1677455921
76,buhe,30.2876,112.2298,43.32,48,0,2.17,CN,1677455961
77,boueni,-12.9025,45.0761,80.58,76,99,9.82,YT,1677455961
